student_id,grade,subject,primary_issue,secondary_issue,root_cause_category,academic_risk_level,urgency_level,recommended_focus_area,teacher_intervention_needed,confidence_in_insight,summary_signal
S038,5,Science,Low overall performance,None observed,Weak foundational understanding,medium,medium,Structured revision and consistency building,no,medium,low performer with medium risk
S039,6,English,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,medium,medium performer with low risk
S039,6,Math,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,high,medium performer with low risk
S039,6,Science,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,high,medium performer with low risk
S040,6,English,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,high,high performer with low risk
S040,6,Math,Low overall performance,None observed,Weak foundational understanding,medium,medium,Structured revision and consistency building,no,medium,low performer with medium risk
S040,6,Science,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,medium,medium performer with low risk
S041,10,English,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,high,high performer with low risk
S041,10,Math,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,high,high performer with low risk
S041,10,Science,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,medium,medium performer with low risk
S042,11,English,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,high,medium performer with low risk
S042,11,Math,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,high,medium performer with low risk
S042,11,Science,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,high,medium performer with low risk
S043,9,English,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,high,high performer with low risk
S043,9,Math,Low overall performance,None observed,Weak foundational understanding,medium,medium,Structured revision and consistency building,no,medium,low performer with medium risk
S043,9,Science,Performance regression,None observed,Inconsistent preparation or focus,medium,medium,Structured revision and consistency building,no,high,medium performer with medium risk
S044,5,English,Performance regression,None observed,Inconsistent preparation or focus,medium,medium,Structured revision and consistency building,no,high,high performer with medium risk
S044,5,Math,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,high,high performer with low risk
S044,5,Science,Performance regression,None observed,Inconsistent preparation or focus,medium,medium,Structured revision and consistency building,no,high,medium performer with medium risk
S045,11,English,Low overall performance,None observed,Weak foundational understanding,medium,medium,Structured revision and consistency building,no,high,low performer with medium risk
S045,11,Math,Performance regression,None observed,Inconsistent preparation or focus,medium,medium,Structured revision and consistency building,no,medium,medium performer with medium risk
S045,11,Science,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,high,high performer with low risk
S046,9,English,No major academic concern,Exam pressure affecting real exam performance,Healthy learning pattern,low,low,Maintain current learning approach,no,medium,medium performer with low risk
S046,9,Math,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,medium,medium performer with low risk
S046,9,Science,Consistently low and declining performance,None observed,Conceptual gaps with poor reinforcement,high,high,Immediate concept revision and guided practice,yes,high,low performer with high risk
S047,1,English,Performance regression,None observed,Inconsistent preparation or focus,medium,medium,Structured revision and consistency building,no,high,medium performer with medium risk
S047,1,Math,Low overall performance,None observed,Weak foundational understanding,medium,medium,Structured revision and consistency building,no,high,low performer with medium risk
S047,1,Science,Performance regression,None observed,Inconsistent preparation or focus,medium,medium,Structured revision and consistency building,no,medium,medium performer with medium risk
S048,9,English,Performance regression,None observed,Inconsistent preparation or focus,medium,medium,Structured revision and consistency building,no,high,high performer with medium risk
S048,9,Math,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,medium,medium performer with low risk
S048,9,Science,Consistently low and declining performance,None observed,Conceptual gaps with poor reinforcement,high,high,Immediate concept revision and guided practice,yes,high,low performer with high risk
S049,5,English,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,medium,medium performer with low risk
S049,5,Math,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,high,medium performer with low risk
S049,5,Science,Performance regression,None observed,Inconsistent preparation or focus,medium,medium,Structured revision and consistency building,no,high,medium performer with medium risk
S050,10,English,No major academic concern,None observed,Healthy learning pattern,low,low,Maintain current learning approach,no,high,medium performer with low risk
S050,10,Math,Low overall performance,None observed,Weak foundational understanding,medium,medium,Structured revision and consistency building,no,high,low performer with medium risk
S050,10,Science,Low overall performance,None observed,Weak foundational understanding,medium,medium,Structured revision and consistency building,no,medium,low performer with medium risk
